name	link
ablobwobroll	https://emoji.gg/assets/emoji/2793_ablobwobroll.gif
amegablobsweats	https://emoji.gg/assets/emoji/8008_amegablobsweats.gif
AmongUs_Report	https://emoji.gg/assets/emoji/6175_among_us_report.png
AmongUs_Shy	https://emoji.gg/assets/emoji/1770_AmongUs_Shy.png
apartyblob	https://emoji.gg/assets/emoji/8608_apartyblob.gif
aphotoblob	https://emoji.gg/assets/emoji/4979_aphotoblob.gif
CoronaHands	https://emoji.gg/assets/emoji/3256_coronaHands.png
coronaS	https://emoji.gg/assets/emoji/8128_coronaS.png
cry	https://emoji.gg/assets/emoji/3124_cry.gif
delet	https://emoji.gg/assets/emoji/5593_delet.png
DiamondYouWhat	https://emoji.gg/assets/emoji/8391_PEPE_DiamondSword.png
ez	https://emoji.gg/assets/emoji/5492_EzPepe.png
FeelsDeadMan	https://emoji.gg/assets/emoji/4575_feelsdeadman.png
FeelsGlassesMan	https://emoji.gg/assets/emoji/6847_feelsglassesman.png
FeelsRevengeMan	https://emoji.gg/assets/emoji/2791_feelsrevengeman.png
FeelsSmartMan	https://emoji.gg/assets/emoji/7506_feelssmartman.png
FeelsStrongMan	https://emoji.gg/assets/emoji/1296_FeelsStrongMen.png
hitler_pepe	https://emoji.gg/assets/emoji/2611_hitler_pepe.png
HyperKirbPet	https://emoji.gg/assets/emoji/9294_HyperKirbPet.gif
impasta	https://emoji.gg/assets/emoji/1725_impasta.png
Okayge	https://emoji.gg/assets/emoji/8416_Okayge.png
OrangeManGa	https://emoji.gg/assets/emoji/8441_OrangeManGa.png
papyrus_dont	https://emoji.gg/assets/emoji/4702_papyrus_dont.png
peepoFighter	https://emoji.gg/assets/emoji/9525_peepoFighter.png
PeepoFlushed	https://emoji.gg/assets/emoji/9486_PeepoFlushed.png
Peepo_Gay	https://emoji.gg/assets/emoji/1120_Peepo_Gay.png
peepoHappyLove	https://emoji.gg/assets/emoji/8850_peepoHappyLove.png
peepoPet	https://emoji.gg/assets/emoji/2174_peepo_pet.gif
pepe_5head	https://emoji.gg/assets/emoji/4275_pepe_5head.png
pepe_ahegao	https://emoji.gg/assets/emoji/9458_pepe_ahegao.png
pepeanonymous	https://emoji.gg/assets/emoji/8140_pepeanoymous.png
pepecross	https://emoji.gg/assets/emoji/7686_pepecross.png
PepegaCredit	https://emoji.gg/assets/emoji/6619_PepegaCredit.gif
pepe_popcorn	https://emoji.gg/assets/emoji/4324_pepe_popcorn.png
Pepepunch	https://emoji.gg/assets/emoji/9294_Pepepunch.png
peperun	https://emoji.gg/assets/emoji/9482_PepeRun.gif
Pepetouched	https://emoji.gg/assets/emoji/1675_Pepetouched.png
petred	https://emoji.gg/assets/emoji/6498_petred.gif
press_F	https://emoji.gg/assets/emoji/9319_press_F.png
Sadge	https://emoji.gg/assets/emoji/6757_Sadge.png
sedlyf_pepe	https://emoji.gg/assets/emoji/4358_sedlyf_pepe.png
weh_bean	https://emoji.gg/assets/emoji/9784_weh_bean.png
WumpusDance	https://emoji.gg/assets/emoji/3024_WumpusDance.gif
yellowcatcri	https://emoji.gg/assets/emoji/1783_yellow_cri.png
YEP	https://emoji.gg/assets/emoji/8194_YEP.png
yayayaNO	https://emoji.gg/assets/emoji/3963_yayayaNO.gif
illyaHUH	https://media.tenor.com/images/242cf10d638f4e8a27a9be9fa3781cfe/tenor.gif
hyperAYAYA	https://media.tenor.com/images/b1f0dda8ee49297515eb70a2edd003ce/tenor.gif
youarededwrong	https://tenor.com/view/you-are-dead-wrong-uganda-gif-18667717
forlegalreasons	https://tenor.com/view/pewdiepie-9year-old-army-tgay-congratulations-for-legal-reasons-thats-ajoke-gif-13924557
vanishbye	https://tenor.com/view/out-disappear-bye-gif-4932063
monkaSmonkaEyes	https://tenor.com/view/pepe-sweat-monkas-monka-eyes-gif-10994127
pepegaShower	https://media.tenor.com/images/ba7b122d8117ac7b568d9a0d9f7d5c76/tenor.gif
widepeepoHappy	https://cdn.frankerfacez.com/emoticon/270930/2
angryFlushed	https://emoji.gg/assets/emoji/3362_angry_flushed.png
widepeepoSad	https://cdn.frankerfacez.com/emoticon/303899/2
wojakshapes	https://www.meme-arsenal.com/memes/f7300ccad0575bc19d9c8ee76acd5e82.jpg
peepoAngry	https://cdn.discordapp.com/attachments/742988635829174324/789213765378899968/image0.gif
sagarPray	https://cdn.discordapp.com/attachments/742988635829174324/809756797699227717/unknown.png
deepFriedJoy	https://cdn.discordapp.com/attachments/742988635829174324/821325846626959420/28-283431_lmaodf-discord-emoji-deep-fried-laugh-cry-emoji.png
machaxx	https://cdn.discordapp.com/attachments/742988635829174324/827573826598207518/machaxx.gif
confuje	https://cdn.discordapp.com/attachments/742988635829174324/827574954882236476/CONFUJE.png
AYAYAweird	https://cdn.frankerfacez.com/emoticon/331926/2
pepeW	https://cdn.frankerfacez.com/emoticon/232677/2
watchingPragya	https://cdn.discordapp.com/attachments/742988635829174324/882174875777769522/unknown.png
NOTED	https://cdn.discordapp.com/attachments/574117778026397697/794260319123013632/3x.gif
thonk	https://emoji.gg/assets/emoji/thonk.png

